/v1/businesses/{businessId}/goods-questions	POST	goods-questions	Получение вопросов о товарах продавца
/v1/businesses/{businessId}/goods-questions/answers	POST	goods-questions	Получение ответов на вопрос
/v1/businesses/{businessId}/goods-questions/update	POST	goods-questions	Создание, изменение и удаление ответа или комментария
/v1/businesses/{businessId}/logistics-points	POST	logistic-points	Получение точек ПВЗ Маркета
/v1/businesses/{businessId}/offer-mappings/barcodes/generate	POST	business-offer-mappings	Генерация штрихкодов
/v1/businesses/{businessId}/operations	POST	operations	Получение статусов операций
/v1/businesses/{businessId}/orders	POST	orders	Информация о заказах в кабинете
/v1/businesses/{businessId}/returns/decisions	POST	returns	Получение возможных решений по возврату
/v1/campaigns/{campaignId}/delivery-options	POST	delivery-options	Получение доступных вариантов доставки заказов
/v1/campaigns/{campaignId}/orders/create	POST	orders	Создание заказа
/v1/campaigns/{campaignId}/orders/update-options	POST	orders	Получение временных интервалов для изменения заказа
/v1/campaigns/{campaignId}/orders/update	POST	orders	Изменение заказа
/v1/campaigns/{campaignId}/return-delivery-options	POST	delivery-options	Получение подходящих для возврата пунктов выдачи
/v1/campaigns/{campaignId}/returns/cancel	POST	returns	Отмена возврата
/v1/campaigns/{campaignId}/returns/create	POST	returns	Создание возврата
/v1/reports/documents/barcodes/generate	POST	reports	Получение файла со штрихкодами
/v2/auth/token	POST	auth	Получение информации о токене авторизации
/v2/businesses/{businessId}/bids	PUT	bids	Включение буста продаж и установка ставок
/v2/businesses/{businessId}/bids/info	POST	bids	Информация об установленных ставках
/v2/businesses/{businessId}/bids/recommendations	POST	bids	Рекомендованные ставки для заданных товаров
/v2/businesses/{businessId}/chat	GET	chats	Получение чата по идентификатору
/v2/businesses/{businessId}/chats	POST	chats	Получение доступных чатов
/v2/businesses/{businessId}/chats/file/send	POST	chats	Отправка файла в чат
/v2/businesses/{businessId}/chats/history	POST	chats	Получение истории сообщений в чате
/v2/businesses/{businessId}/chats/message	POST	chats	Отправка сообщения в чат
/v2/businesses/{businessId}/chats/message	GET	chats	Получение сообщения в чате
/v2/businesses/{businessId}/chats/new	POST	chats	Создание нового чата с покупателем
/v2/businesses/{businessId}/goods-feedback	POST	goods-feedback	Получение отзывов о товарах продавца
/v2/businesses/{businessId}/goods-feedback/comments	POST	goods-feedback	Получение комментариев к отзыву
/v2/businesses/{businessId}/goods-feedback/comments/delete	POST	goods-feedback	Удаление комментария к отзыву
/v2/businesses/{businessId}/goods-feedback/comments/update	POST	goods-feedback	Добавление нового или изменение созданного комментария
/v2/businesses/{businessId}/goods-feedback/skip-reaction	POST	goods-feedback	Пропуск реакции на отзывы
/v2/businesses/{businessId}/offer-cards	POST	content	Получение информации о заполненности карточек магазина
/v2/businesses/{businessId}/offer-cards/update	POST	content	Редактирование категорийных характеристик товара
/v2/businesses/{businessId}/offer-mappings	POST	business-offer-mappings	Информация о товарах в каталоге
/v2/businesses/{businessId}/offer-mappings/archive	POST	business-offer-mappings	Добавление товаров в архив
